DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020654,Geranyl acetate,105-87-3,HIGQPQRQIQDZMP-DHZHZOJOSA-N,"(2E)-3,7-Dimethylocta-2,6-dien-1-yl acetate",CC(C)=CCC\C(C)=C\COC(C)=O,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+
",C12H20O2,196.29,196.146330,230,1,120,75,1,10/867,1,867
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020789,Magnesium chloride hexahydrate,7791-18-6,DHRRIBDTHFBPNG-UHFFFAOYSA-L,Magnesium chloride--water (1/2/6),O.O.O.O.O.O.[Mg++].[Cl-].[Cl-],"InChI=1S/2ClH.Mg.6H2O/h2*1H;;6*1H2/q;;+2;;;;;;/p-2
",Cl2H12MgO6,203.3,201.986135,101,,46,98,1,6/235,3,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0020789,Magnesium chloride hexahydrate,7791-18-6,DHRRIBDTHFBPNG-UHFFFAOYSA-L,Magnesium chloride--water (1/2/6),O.O.O.O.O.O.[Mg++].[Cl-].[Cl-],"InChI=1S/2ClH.Mg.6H2O/h2*1H;;6*1H2/q;;+2;;;;;;/p-2
",Cl2H12MgO6,203.3,201.986135,101,,46,98,1,6/235,3,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021175,Polysorbate 80,9005-65-6,,,,,,, ,238,3679,,148,1,21/428,5,428
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0021961,Benzophenone,119-61-9,RWCCWEUUXYIKHB-UHFFFAOYSA-N,Diphenylmethanone,O=C(C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C13H10O/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H
",C13H10O,182.222,182.073165,342,456,209,38,1,43/872,5,872
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0022010,cis-Oleyl alcohol,143-28-2,ALSTYHKOOCGGFT-KTKRTIGZSA-N,(9Z)-Octadec-9-en-1-ol,CCCCCCCC\C=C/CCCCCCCCO,"InChI=1S/C18H36O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h9-10,19H,2-8,11-18H2,1H3/b10-9-
",C18H36O,268.485,268.276616,162,52,93,17,1,0/235,0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00231231,Behentrimonium methosulfate,81646-13-1,QIVLQXGSQSFTIF-UHFFFAOYSA-M,"N,N,N-Trimethyldocosan-1-aminium methyl sulfate",COS([O-])(=O)=O.CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C,"InChI=1S/C25H54N.CH4O4S/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26(2,3)4;1-5-6(2,3)4/h5-25H2,1-4H3;1H3,(H,2,3,4)/q+1;/p-1
",C26H57NO4S,479.81,479.400830,90,,20,27,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00231231,Behentrimonium methosulfate,81646-13-1,QIVLQXGSQSFTIF-UHFFFAOYSA-M,"N,N,N-Trimethyldocosan-1-aminium methyl sulfate",COS([O-])(=O)=O.CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C,"InChI=1S/C25H54N.CH4O4S/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26(2,3)4;1-5-6(2,3)4/h5-25H2,1-4H3;1H3,(H,2,3,4)/q+1;/p-1
",C26H57NO4S,479.81,479.400830,90,,20,27,, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024050,"1,1-Difluoroethane",75-37-6,NPNPZTNLOVBDOC-UHFFFAOYSA-N,"1,1-Difluoroethane",CC(F)F,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3
",C2H4F2,66.051,66.028106,254,24,67,721,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025072,Dihydroxyacetone,96-26-4,UOQFZGVGGMHGEE-UHFFFAOYSA-N,"1,1-Dihydroxypropan-2-one",CC(=O)C(O)O,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h3,5-6H,1H3
",C3H6O3,90.078,90.031694,153,429,31,10,1,0/3,0,3
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025072,Dihydroxyacetone,96-26-4,UOQFZGVGGMHGEE-UHFFFAOYSA-N,"1,1-Dihydroxypropan-2-one",CC(=O)C(O)O,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h3,5-6H,1H3
",C3H6O3,90.078,90.031694,153,429,31,10,1,0/3,0,3
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025234,Eosin,17372-87-1,LSMXXHPAEZLILP-UHFFFAOYSA-L,"Disodium 2',4',5',7'-tetrabromo-3-oxo-3H-spiro[[2]benzofuran-1,9'-xanthene]-3',6'-bis(olate)",[Na+].[Na+].[O-]C1=C(Br)C2=C(C=C1Br)C1(OC(=O)C3=C1C=CC=C3)C1=CC(Br)=C([O-])C(Br)=C1O2,"InChI=1S/C20H8Br4O5.2Na/c21-11-5-9-17(13(23)15(11)25)28-18-10(6-12(22)16(26)14(18)24)20(9)8-4-2-1-3-7(8)19(27)29-20;;/h1-6,25-26H;;/q;2*+1/p-2
",C20H6Br4Na2O5,691.859,687.674414,142,2033,25,54,1,102/445,23,445
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025234,Eosin,17372-87-1,LSMXXHPAEZLILP-UHFFFAOYSA-L,"Disodium 2',4',5',7'-tetrabromo-3-oxo-3H-spiro[[2]benzofuran-1,9'-xanthene]-3',6'-bis(olate)",[Na+].[Na+].[O-]C1=C(Br)C2=C(C=C1Br)C1(OC(=O)C3=C1C=CC=C3)C1=CC(Br)=C([O-])C(Br)=C1O2,"InChI=1S/C20H8Br4O5.2Na/c21-11-5-9-17(13(23)15(11)25)28-18-10(6-12(22)16(26)14(18)24)20(9)8-4-2-1-3-7(8)19(27)29-20;;/h1-6,25-26H;;/q;2*+1/p-2
",C20H6Br4Na2O5,691.859,687.674414,142,2033,25,54,1,102/445,23,445
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025363,Glycolic acid,79-14-1,AEMRFAOFKBGASW-UHFFFAOYSA-N,Hydroxyacetic acid,OCC(O)=O,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)
",C2H4O3,76.051,76.016044,300,710,301,224,1,4/429,1,429
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025571,"2-Methyl-1,3-benzenediol",608-25-3,ZTMADXFOCUXMJE-UHFFFAOYSA-N,"2-Methylbenzene-1,3-diol",CC1=C(O)C=CC=C1O,"InChI=1S/C7H8O2/c1-5-6(8)3-2-4-7(5)9/h2-4,8-9H,1H3
",C7H8O2,124.139,124.052429,138,7,142,71,1,11/622,2,622
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025941,Polyvinylpyrrolidone,9003-39-8,,,"*-CC(-*)N1CCCC1=O |$star_e;;;star_e;;;;;;$,lp:4:1,9:2,Sg:n:0,3,1,2,9,8,4,5,6,7::ht|",,(C6H9NO)n,, ,177,6206,,313,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025941,Polyvinylpyrrolidone,9003-39-8,,,"*-CC(-*)N1CCCC1=O |$star_e;;;star_e;;;;;;$,lp:4:1,9:2,Sg:n:0,3,1,2,9,8,4,5,6,7::ht|",,(C6H9NO)n,, ,177,6206,,313,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027066,"Glycine, N-methyl-N-(1-oxododecyl)-, sodium salt",137-16-6,KSAVQLQVUXSOCR-UHFFFAOYSA-M,Sodium [dodecanoyl(methyl)amino]acetate,[Na+].CCCCCCCCCCCC(=O)N(C)CC([O-])=O,"InChI=1S/C15H29NO3.Na/c1-3-4-5-6-7-8-9-10-11-12-14(17)16(2)13-15(18)19;/h3-13H2,1-2H3,(H,18,19);/q;+1/p-1
",C15H28NNaO3,293.383,293.196688,205,239,81,1192,1,3/235,1,235
