DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024719,Wollastonite,13983-17-0,,,,,,, ,88,632,,183,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0024842,"Amides, coco, N,N-bis(hydroxyethyl)",68603-42-9,,,,,,, ,176,8,,143,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025363,Glycolic acid,79-14-1,AEMRFAOFKBGASW-UHFFFAOYSA-N,Hydroxyacetic acid,OCC(O)=O,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)
",C2H4O3,76.051,76.016044,300,710,301,224,1,4/429,1,429
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025816,Oxalic acid,144-62-7,MUBZPKHOEPUJKR-UHFFFAOYSA-N,Oxalic acid,OC(=O)C(O)=O,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)
",C2H2O4,90.034,89.995309,284,1678,471,171,1,8/431,2,431
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0025949,Potassium oleate,143-18-0,MLICVSDCCDDWMD-KVVVOXFISA-M,Potassium (9Z)-octadec-9-enoate,[K+].CCCCCCCC\C=C/CCCCCCCC([O-])=O,"InChI=1S/C18H34O2.K/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h9-10H,2-8,11-17H2,1H3,(H,19,20);/q;+1/p-1/b10-9-;
",C18H33KO2,320.558,320.211762,130,,43,77,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0026967,Diethylene glycol dibenzoate,120-55-8,NXQMCAOPTPLPRL-UHFFFAOYSA-N,"Oxydi(ethane-2,1-diyl) dibenzoate",O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,"InChI=1S/C18H18O5/c19-17(15-7-3-1-4-8-15)22-13-11-21-12-14-23-18(20)16-9-5-2-6-10-16/h1-10H,11-14H2
",C18H18O5,314.337,314.115424,184,2,70,38,1,26/892,3,892
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027014,2-Octanol,123-96-6,SJWFXCIHNDVPSH-UHFFFAOYSA-N,Octan-2-ol,CCCCCCC(C)O,"InChI=1/C8H18O/c1-3-4-5-6-7-8(2)9/h8-9H,3-7H2,1-2H3
",C8H18O,130.231,130.135765,187,34,186,28,1,11/444,2,444
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027066,"Glycine, N-methyl-N-(1-oxododecyl)-, sodium salt",137-16-6,KSAVQLQVUXSOCR-UHFFFAOYSA-M,Sodium [dodecanoyl(methyl)amino]acetate,[Na+].CCCCCCCCCCCC(=O)N(C)CC([O-])=O,"InChI=1S/C15H29NO3.Na/c1-3-4-5-6-7-8-9-10-11-12-14(17)16(2)13-15(18)19;/h3-13H2,1-2H3,(H,18,19);/q;+1/p-1
",C15H28NNaO3,293.383,293.196688,205,239,81,1192,1,3/235,1,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027222,Terpinolene,586-62-9,MOYAFQVGZZPNRA-UHFFFAOYSA-N,1-Methyl-4-(propan-2-ylidene)cyclohex-1-ene,CC(C)=C1CCC(C)=CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3
",C10H16,136.238,136.125201,245,38,89,62,1,20/434,5,434
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0027278,Aluminum stearate,637-12-7,CEGOLXSVJUTHNZ-UHFFFAOYSA-K,Aluminium trioctadecanoate,[Al+3].CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O,"InChI=1S/3C18H36O2.Al/c3*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h3*2-17H2,1H3,(H,19,20);/q;;;+3/p-3
",C54H105AlO6,877.41,876.772655,96,2041,47,33,1, ,,
